[INFO] | [adapt_layer] | Токены в слое TextVectorization: ['', '[UNK]', 'в', 'и', 'по', 'не', 'для', 'пишите', 'от', 'лс', 'за', '18', 'так', 'людей', 'комуто', 'все', 'книга', 'день', 'От', 'ЛС', 'Есть', 'чтобы', 'тут', 'трейдингуабсолютно', 'сфере', 'спасибо', 'с', 'просто', 'отдам', 'курс', 'заработок', 'доход', 'вся', 'cпaмить', 'скину', 'пассивный', 'нужна', 'нужен', 'лет', 'инфой', 'ии', 'зa', 'Хороший', 'Пишите', 'Пиши', 'НУЖНЫ', 'Может', 'ЛЮДИ', 'ЗАРАБОТКА', 'ДОПОЛНИТЕЛЬНОГО', 'ДЛЯ', 'Возраст', 'oт', 'только', 'сообщeния', 'свoбодное', 'предлагаю', 'поделиться', 'подpобностями', 'основаКому', 'оcнове', 'на', 'нa', 'людeй', 'личныe', 'лc', 'криптовалюте', 'криптовалют', 'кому', 'интересно', 'занятость', 'зaработка', 'если', 'деталu', 'годa', 'вpемя', 'Я', 'Привет', 'Могу', 'Ищу', 'Ищy', 'Здравствуйте', 'За', 'yдаленной', 'bybit', '♾️♾️♾️', 'человек', 'частичная', 'хорoший', 'удаленной', 'трейдингразличные', 'тд', 'свобoднoе', 'самообразования', 'предпринимательство', 'попрошу', 'подробности', 'плохие', 'пару', 'опыт', 'оплата', 'обязательный', 'обучающего', 'несколько', 'неделю', 'накопилось', 'нyжны', 'множество', 'материала', 'мануалы', 'люди', 'курсы', 'каждый', 'интересен', 'инвестирования', 'имеется', 'зарабoток', 'заинтересованных', 'допoлнительный', 'деятельности', 'детальной', 'годы', 'всем', 'время', 'взамен', 'более', 'аккаунт', 'Тематики', 'Получитe', 'Подробности', 'Нужно', 'Кoму', 'Ищем', 'ИИ', 'Детали', 'Деньги', 'Возьмем', 'В', 'usДt', 'u', 'peбята', 'money', 'binance', '250', '21', '145', '🟢По', '🟢Нужны', '🟢Здpaвствуйтe', '🟢Вoзможнoсть', '🟢paбoта', '🟢oбучениe', '🛒', '🙌', '⚠️⚠️⚠️⚠️⚠️', 'чтоб', 'что', 'чиcтыми', 'честнoм', 'чаca', 'цифровые', 'хотите', 'хорошие', 'хорошего', 'хoчу', 'формате', 'узнать', 'удаленного', 'удаленке', 'ты', 'трейдинга', 'телефона', 'твинк', 'твoегo', 'танки', 'танк', 'сутки', 'стратегиям', 'стартует', 'ссылка', 'спасибо☺️', 'спасибo', 'сообщениях', 'совершеннолетних', 'со', 'скинуть', 'скальпинг', 'своим', 'сyтки', 'сoвмeстногo', 'руководство', 'ребята', 'ребят', 'реaльный', 'работаете', 'прилично', 'прем', 'предлoжuть', 'практическое', 'получения', 'получении', 'поиске', 'подтягивайся', 'поднимать', 'подpобноcтями', 'плохой', 'пишитескину', 'писать', 'пассивного', 'пассивно', 'партнеров', 'пuшu', 'пoдрoбнocтями', 'пo', 'пapтнepы', 'основной', 'онлайн', 'онлaйн', 'об', 'нужно', 'нужeн', 'новая', 'нихуя', 'ниже', 'нига', 'недвижимость', 'нами', 'надоoтдaмибо', 'нaми', 'могу', 'мне', 'минимум', 'личных', 'личку', 'личкy', 'либo', 'летЧастичная', 'лежат', 'легaльнo', 'купить', 'криптовaлюте', 'криптoвалютe', 'компьютера', 'команду', 'коллектив', 'ключевые', 'кеш', 'карму', 'капиталом', 'кyрсы', 'кpиптовалютеможет', 'кoллeктив', 'кaких', 'информации', 'инвестировании', 'инвестирование', 'или', 'изученияКому', 'игры', 'игрокиetfопционы', 'игра', 'золотоинструменты', 'заработкаОт', 'заработка', 'зарабатывать', 'занятостьДоход', 'залетаем👇', 'заинтересовалопишите', 'зaрaбoтке', 'зaрaбoтoк', 'зauнтересoвaн', 'зapaбатывать', 'же', 'есть', 'друзья', 'дохода', 'дорого', 'дополнительного', 'допдoxoда', 'доп', 'долгосрочное', 'деталями', 'дела😉', 'действuтельнo', 'давать', 'дoпoлнuтельный', 'гaрaнтuрoвaнo', 'временu', 'вопросам', 'возможность', 'влoжений', 'взa', 'верю', 'вариков', 'вpeмeни', 'вoзможность', 'быстрoм', 'биржами', 'без', 'базаКого', 'база', 'бeз', 'бecплатнo', 'активы', 'аккаунты', 'Честнo', 'Частичная', 'Чaс', 'Удаленно', 'Срочно', 'СРОЧНОНужны', 'Продам', 'ПриветствуюЕсть', 'Прuвет', 'Подробно', 'Писать', 'Пару', 'Павла', 'Пo', 'Отправляй', 'Остались', 'Нужны', 'НЕ', 'НАРКОТИКИ', 'Нaрод', 'Можeт', 'Инвестиции', 'Занятость', 'Еслu', 'Дурова', 'Доход', 'Вдруг', 'wot', 'telegram', 'smart', 'okx', 'mexc', 'heweerylink', 'eu', 'defi', 'coтрудничества', 'c', 'bitget', 'b', 'absuki2021', '710', '500', '50', '400', '3', '247', '20', '12', '100р']
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
[DEBUG] | [set_spam_dataset] | Размерность тензора: (1, 350) 
