[DEBUG] | [__init__] | Using selector: KqueueSelector
[INFO] | [_connect] | Connecting to 149.154.167.51:443/TcpFull...
[DEBUG] | [_try_connect] | Connection attempt 1...
[DEBUG] | [_try_connect] | Connection success!
[DEBUG] | [_connect] | Starting send loop
[DEBUG] | [_connect] | Starting receive loop
[INFO] | [_connect] | Connection to 149.154.167.51:443/TcpFull complete!
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [get] | Assigned msg_id = 7397023887056570832 to InvokeWithLayerRequest (7fdeaafccbb0)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 80 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [_recv_loop] | Receiving items from the network...
[DEBUG] | [_handle_bad_server_salt] | Handling bad salt for message 7397023887056570832
[DEBUG] | [_handle_bad_server_salt] | 1 message(s) will be resent
[DEBUG] | [_recv_loop] | Receiving items from the network...
[DEBUG] | [get] | Assigned msg_id = 7397023887462221924 to InvokeWithLayerRequest (7fdeaafccbb0)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 80 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [get] | Assigned msg_id = 7397023887465825860 to MsgsAck (7fdeaafccd00)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 36 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [_handle_container] | Handling container
[DEBUG] | [_handle_new_session_created] | Handling new session created
[DEBUG] | [_handle_ack] | Handling acknowledge for [7397023887462221924]
[DEBUG] | [_recv_loop] | Receiving items from the network...
[DEBUG] | [_handle_rpc_result] | Handling RPC result for message 7397023887462221924
[DEBUG] | [_recv_loop] | Receiving items from the network...
[DEBUG] | [get] | Assigned msg_id = 7397023888178585476 to GetUsersRequest (7fdeaafcc940)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 32 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [get] | Assigned msg_id = 7397023888181037372 to MsgsAck (7fdeaafccc70)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 60 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [_handle_rpc_result] | Handling RPC result for message 7397023888178585476
[DEBUG] | [_recv_loop] | Receiving items from the network...
[DEBUG] | [get] | Assigned msg_id = 7397023888550289580 to GetStateRequest (7fdeaafcc940)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 20 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [get] | Assigned msg_id = 7397023888553917356 to MsgsAck (7fdeaafccb50)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 36 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [_handle_rpc_result] | Handling RPC result for message 7397023888550289580
[DEBUG] | [_recv_loop] | Receiving items from the network...
[DEBUG] | [get] | Assigned msg_id = 7397023888888536876 to GetUsersRequest (7fdeaafccbe0)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 32 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [get] | Assigned msg_id = 7397023888889909216 to MsgsAck (7fdeab005a60)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 36 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [_handle_rpc_result] | Handling RPC result for message 7397023888888536876
[DEBUG] | [_recv_loop] | Receiving items from the network...
[INFO] | [__init__] | Постановка хендлера
[DEBUG] | [get] | Assigned msg_id = 7397023889334505504 to ResolveUsernameRequest (7fdeab005d60)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 32 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [get] | Assigned msg_id = 7397023889336933560 to MsgsAck (7fdeaafccbe0)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 36 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [_handle_rpc_result] | Handling RPC result for message 7397023889334505504
[DEBUG] | [_recv_loop] | Receiving items from the network...
[DEBUG] | [get] | Assigned msg_id = 7397023889812509960 to GetHistoryRequest (7fdeab005cd0)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 72 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
[DEBUG] | [get] | Assigned msg_id = 7397023889817982144 to MsgsAck (7fdeab0058b0)
[DEBUG] | [_send_loop] | Encrypting 1 message(s) in 36 bytes for sending
[DEBUG] | [_send_loop] | Encrypted messages put in a queue to be sent
[DEBUG] | [_send_loop] | Waiting for messages to send...
